,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
76,Germany,DEU,EURO,OWID,2021-09-24,106863393.0,56279314.0,128.493,67.67,53134571.0,63.889,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
77,Ghana,GHA,AFRO,REPORTING,2021-09-20,1623582.0,865422.0,5.225,2.785,758160.0,2.44,"Gamaleya - Sputnik V,SII - Covishield",2021-03-02,2.0
78,Gibraltar,GIB,EURO,OWID,2021-09-25,79502.0,39927.0,235.974,118.509,39575.0,117.465,Pfizer BioNTech - Comirnaty,,1.0
79,Greece,GRC,EURO,OWID,2021-09-26,12041797.0,6417215.0,112.345,59.87,6056118.0,56.501,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
80,Greenland,GRL,EURO,OWID,2021-09-24,77822.0,41196.0,137.078,72.564,36626.0,64.514,Moderna - mRNA-1273,,1.0
81,Grenada,GRD,AMRO,REPORTING,2021-09-24,55663.0,33132.0,49.468,29.445,22531.0,20.023,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-15,3.0
82,Guadeloupe,GLP,AMRO,REPORTING,2021-09-24,208593.0,123358.0,52.132,30.83,84495.0,21.117,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-08,5.0
83,Guam,GUM,WPRO,REPORTING,2021-09-14,220574.0,122191.0,130.691,72.399,107124.0,63.471,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-04,3.0
84,Guatemala,GTM,AMRO,REPORTING,2021-09-24,6424045.0,4260633.0,35.857,23.782,2163412.0,12.076,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-25,5.0
85,Guernsey,GGY,EURO,OWID,2021-09-24,101759.0,,157.844,,,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3.0
86,Guinea,GIN,AFRO,REPORTING,2021-09-26,1699898.0,1164005.0,12.944,8.863,535893.0,4.081,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-05,6.0
87,Guinea-Bissau,GNB,AFRO,REPORTING,2021-09-22,94715.0,87231.0,4.813,4.432,7484.0,0.38,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-04-02,2.0
88,Guyana,GUY,AMRO,REPORTING,2021-09-24,533843.0,351981.0,67.871,44.75,181862.0,23.121,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-11,6.0
89,Haiti,HTI,AMRO,REPORTING,2021-09-24,64799.0,45419.0,0.568,0.398,19721.0,0.173,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273",,2.0
90,Honduras,HND,AMRO,REPORTING,2021-09-24,5196072.0,3207579.0,52.461,32.385,1988868.0,20.08,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-26,6.0
91,Hungary,HUN,EURO,OWID,2021-09-26,,5879178.0,,60.179,5630587.0,57.634,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,6.0
92,Iceland,ISL,EURO,OWID,2021-09-23,551110.0,281440.0,151.348,77.29,275493.0,75.657,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
93,India,IND,SEARO,REPORTING,2021-09-21,818513827.0,609568160.0,59.312,44.171,208945667.0,15.141,"Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,SII - Covishield",2021-01-16,5.0
94,Indonesia,IDN,SEARO,REPORTING,2021-09-21,127209288.0,81083498.0,46.508,29.644,46125790.0,16.864,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-13,5.0
95,Iran (Islamic Republic of),IRN,EMRO,REPORTING,2021-09-20,43372270.0,29526662.0,51.638,35.154,13961491.0,16.622,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V",2021-02-09,4.0
96,Iraq,IRQ,EMRO,REPORTING,2021-09-23,7448300.0,4585095.0,18.518,11.399,2486604.0,6.182,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-03-02,4.0
97,Ireland,IRL,EURO,OWID,2021-09-25,7186369.0,3764110.0,144.757,75.821,3657598.0,73.676,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
